food_name,calories,protein,carbohydrates,fat,fiber,sugar,sodium,calcium,iron,potassium,nutrition_density,meal_type,food_preference,cuisine,allergens,serving_size
Chicken Leg Raw,736,56.3,0.6,54.9,0.0,0.0,0.3,31.0,2.4,698.3,145.973,Lunch,Non-Vegetarian,International,None,100 g
Chicken Liver Cooked,76,11.3,0.5,2.8,0.0,0.0,0.079,0.0,0.2,194.5,15.238,Lunch,Non-Vegetarian,International,None,100 g
Chicken Mcnuggets Mcdonalds,48,2.5,2.4,3.2,0.0,0.025,0.009,0.0,0.017,43.5,8.181,Lunch,Non-Vegetarian,International,None,100 g
Chicken Meat Raw,1978,171.1,0.0,138.6,0.0,0.0,0.6,101.2,8.3,1738.8,434.3,Lunch,Non-Vegetarian,International,None,100 g
Chicken Mushroom Chowder Soup,431,16.2,38.3,23.7,7.5,0.0,1.8,0.0,2.6,0.0,99.1,Lunch,Non-Vegetarian,International,None,100 g
Chicken Mushroom Soup,126,2.0,15.1,6.1,4.0,1.0,0.8,29.0,0.9,158.8,57.171,Lunch,Non-Vegetarian,International,None,100 g
Chicken Neck Cooked,94,7.5,0.0,6.9,0.0,0.0,0.085,10.3,0.9,41.0,25.616,Lunch,Non-Vegetarian,International,None,100 g
Chicken Neck Raw,149,7.0,0.0,13.1,0.0,0.0,0.027,9.0,1.0,68.5,30.146,Lunch,Non-Vegetarian,International,None,100 g
Chicken Noodle Soup,145,7.2,18.4,4.7,2.7,0.0,2.1,0.0,0.4,115.1,33.513,Lunch,Non-Vegetarian,International,None,100 g
Chicken Nuggets,61,3.2,3.0,4.1,0.2,0.039,0.1,0.058,0.091,54.4,10.792,Lunch,Non-Vegetarian,International,None,100 g
Chicken Patty,172,8.9,7.7,11.7,0.2,0.0,0.3,11.4,0.6,156.6,40.5,Lunch,Non-Vegetarian,International,None,100 g
Chicken Pork Bologna,94,2.9,1.2,8.6,0.0,0.0,0.3,54.9,0.3,45.4,71.678,Lunch,Non-Vegetarian,International,None,100 g
Chicken Pot Pie,598,14.6,57.3,34.6,3.0,7.2,1.2,63.4,1.8,317.1,177.7,Lunch,Non-Vegetarian,International,None,100 g
Chicken Rice Soup,127,12.3,13.0,3.2,1.0,1.4,0.9,33.6,1.9,108.0,68.818,Lunch,Non-Vegetarian,International,None,100 g
Chicken Sandwich,468,30.4,39.1,20.9,2.6,6.8,1.4,0.012,0.2,346.0,94.051,Lunch,Non-Vegetarian,International,None,100 g
Chicken Sandwich With Cheese,632,29.4,41.6,38.8,0.0,0.0,1.2,257.6,3.6,332.9,374.2,Breakfast,Non-Vegetarian,International,Milk,100 g
Chicken Skin Roasted,508,22.8,0.0,45.6,0.0,0.0,0.028,15.7,1.7,152.3,85.844,Lunch,Non-Vegetarian,International,None,100 g
Chicken Soup,174,12.4,16.9,6.5,1.5,2.1,0.9,24.5,1.7,171.5,64.716,Lunch,Non-Vegetarian,International,None,100 g
Chicken Spread,88,10.1,2.3,9.8,0.2,0.3,0.4,9.0,0.5,59.4,31.972,Lunch,Non-Vegetarian,International,None,100 g
Chicken Stock,86,6.0,8.5,2.9,0.0,3.8,0.3,7.2,0.5,252.0,25.696,Lunch,Non-Vegetarian,International,None,100 g
Chicken Strips Burger King,105,6.6,7.4,5.5,0.5,0.0,0.3,0.046,0.005,104.8,20.168,Lunch,Non-Vegetarian,International,None,100 g
Chicken Vegetable Soup,148,7.1,17.0,5.6,1.7,3.0,1.7,33.9,1.7,304.9,68.983,Lunch,Non-Vegetarian,International,None,100 g
Chicken Wing Cooked,52,4.8,0.0,3.5,0.0,0.0,0.086,2.5,0.2,29.2,11.058,Lunch,Non-Vegetarian,International,None,100 g
Chicken Wing Roasted,216,20.2,0.0,14.3,0.0,0.0,0.039,0.024,0.092,125.0,35.155,Lunch,Non-Vegetarian,International,None,100 g
Chickpea Flour,356,20.6,53.2,6.2,9.9,10.0,0.05,41.4,4.5,778.3,135.8,Lunch,Vegetarian,International,None,100 g
Chickpeas Canned,352,17.8,57.0,7.0,0.0,0.0,0.6,113.9,2.7,318.8,198.7,Lunch,Vegetarian,International,None,100 g
Chickpeas Cooked,269,14.5,45.0,4.2,12.5,7.9,0.08,80.4,4.7,477.2,163.4,Lunch,Vegetarian,International,None,100 g
Chickpeas Raw,728,38.6,121.3,12.1,34.8,21.4,0.005,210.0,12.5,1750.0,437.3,Lunch,Vegetarian,International,None,100 g
Chicory Greens,7,0.5,1.4,0.096,1.2,0.2,0.017,0.079,0.081,13.6,3.279,Lunch,Vegetarian,International,None,100 g
Chicory Roots,65,1.3,15.8,0.2,1.4,7.9,0.055,0.0,0.051,54.9,18.997,Lunch,Vegetarian,International,None,100 g
Chihuahua Cheese,494,28.5,7.3,39.2,0.0,7.3,0.8,859.3,0.6,68.6,934.983,Breakfast,Vegetarian,International,Milk,100 g
Chili Beef Soup,308,13.4,49.6,6.7,6.6,13.4,2.1,0.072,0.8,297.2,77.607,Lunch,Non-Vegetarian,International,None,100 g
Chili Con Carne,271,14.7,33.1,8.8,8.3,4.7,1.1,0.063,0.6,220.1,66.245,Lunch,Vegetarian,International,None,100 g
Chili Pepper Sauce Green,3,0.1,0.8,0.032,0.3,0.4,0.03,0.8,0.023,84.6,12.206,Lunch,Vegetarian,International,None,100 g
Chili Pepper Sauce Red,3,0.1,0.6,0.089,0.1,0.4,0.003,1.4,0.051,84.6,6.755,Lunch,Vegetarian,International,None,100 g
Chili Peppers Canned,29,1.0,6.4,0.4,2.4,0.0,0.6,50.0,1.8,157.1,109.5,Lunch,Vegetarian,International,None,100 g
Chili Powder,8,0.4,1.3,0.4,0.9,0.2,0.014,0.047,0.032,8.1,3.182,Lunch,Vegetarian,International,None,100 g
Chili With Beans Canned,287,14.6,30.5,14.1,11.3,3.0,1.3,120.3,8.8,934.4,204.0,Lunch,Vegetarian,International,None,100 g
Chili Without Beans Canned,283,18.1,14.6,17.0,0.0,0.0,0.9,72.0,4.8,444.0,130.8,Lunch,Vegetarian,International,None,100 g
Chimichanga With Beef,425,19.6,42.8,19.7,0.0,0.0,0.9,62.6,4.5,586.4,153.9,Lunch,Non-Vegetarian,International,None,100 g
Chimichanga With Beef Cheese,443,20.1,39.3,23.4,0.0,0.0,1.0,237.9,3.8,203.1,327.3,Breakfast,Non-Vegetarian,International,Milk,100 g
Chinese Cabbage Pak Choi Cooked,20,2.7,3.0,0.3,1.7,1.4,0.5,158.1,1.8,630.7,211.8,Lunch,Vegetarian,International,None,100 g
Chinese Cabbage Pak Choi Raw,9,1.1,1.5,0.1,0.7,0.8,0.087,73.5,0.6,176.4,109.0,Lunch,Vegetarian,International,None,100 g
Chinese Cabbage Pe Tsai Cooked,17,1.8,2.9,0.2,2.0,0.0,0.3,38.1,0.4,267.8,64.2,Lunch,Vegetarian,International,None,100 g
Chinese Cabbage Pe Tsai Raw,12,0.9,2.5,0.2,0.9,1.1,0.049,58.5,0.2,180.9,83.7,Lunch,Vegetarian,International,None,100 g
Chinese Chestnuts Roasted,68,1.3,14.8,0.3,0.0,0.0,0.052,5.4,0.4,135.0,33.1,Lunch,Vegetarian,International,None,100 g
Chinese Egg Roll,223,7.4,24.3,10.6,2.3,0.0,0.4,35.6,1.3,146.9,81.5,Breakfast,Non-Vegetarian,International,Egg,100 g
Chinese Noodles,456,0.2,111.9,0.094,0.7,0.0,0.088,0.0,0.1,41.6,112.906,Lunch,Vegetarian,International,None,100 g
Chinook Salmon Cooked,711,79.2,0.0,41.2,0.0,0.0,0.2,86.2,2.8,1555.4,222.5,Lunch,Vegetarian,International,None,100 g
Chinook Salmon Raw,709,78.9,0.0,41.3,0.0,0.0,0.2,103.0,1.0,1560.2,240.5,Lunch,Vegetarian,International,None,100 g
Chinook Salmon Smoked,159,24.9,0.0,5.9,0.0,0.0,1.1,15.0,1.2,238.0,47.038,Lunch,Vegetarian,International,None,100 g
Chips Chipotle,151,0.2,2.1,7.1,0.0,2.1,0.0,0.0,0.0,0.0,9.4,Lunch,Vegetarian,International,None,100 g
Chives Dried,1,0.013,0.1,0.055,0.041,0.0,0.04,0.0,0.047,1.0,0.32,Lunch,Vegetarian,International,None,100 g
Chives Raw,1,0.03,0.1,0.088,0.044,0.02,0.099,0.08,0.059,1.7,0.417,Lunch,Vegetarian,International,None,100 g
Chocolate,208,1.6,24.8,14.0,2.3,21.1,0.001,9.8,1.1,118.9,53.6,Lunch,Vegetarian,International,None,100 g
Chocolate Cake,352,5.0,50.7,14.3,1.5,0.0,0.3,57.0,1.5,133.0,130.2,Lunch,Vegetarian,International,None,100 g
Chocolate Cake With Chocolate Frosting,537,4.8,72.9,27.7,3.0,55.1,0.5,41.4,4.2,372.6,154.164,Lunch,Vegetarian,International,None,100 g
Chocolate Chip Cookie,63,0.5,9.3,2.8,0.3,5.3,0.047,0.036,0.049,8.7,13.122,Lunch,Vegetarian,International,None,100 g
Chocolate Chip Cookies Mcdonalds,136,1.6,18.7,6.4,0.6,9.6,0.058,9.6,1.1,54.9,38.09,Lunch,Vegetarian,International,None,100 g
Chocolate Chip Granola Bar,105,1.8,17.3,3.9,1.1,0.0,0.062,18.5,0.7,60.2,43.38,Lunch,Vegetarian,International,None,100 g
Chocolate Coated Donut,81,0.9,9.2,4.5,0.3,4.8,0.099,4.3,0.7,36.2,20.16,Lunch,Vegetarian,International,None,100 g
Chocolate Coated Marshmallow,118,1.1,19.0,4.7,0.6,12.5,0.002,12.9,0.7,51.0,39.096,Lunch,Vegetarian,International,None,100 g
Chocolate Coffee Beans,155,2.1,15.6,9.4,1.6,14.4,0.006,47.8,0.6,116.9,77.127,Lunch,Vegetarian,International,None,100 g
Chocolate Covered Graham Crackers,68,0.8,9.3,3.2,0.4,5.8,0.067,8.1,0.5,29.3,22.313,Lunch,Vegetarian,International,None,100 g
Chocolate Cream Pie,301,2.6,33.3,19.2,2.0,0.0,0.1,35.6,1.1,125.7,93.8,Lunch,Vegetarian,International,None,100 g
Chocolate Donut,250,2.7,34.4,11.9,1.3,19.2,0.1,127.8,1.4,63.6,179.637,Lunch,Vegetarian,International,None,100 g
Chocolate Frosting,81,0.2,13.0,3.6,0.2,11.8,0.025,1.6,0.3,40.2,18.9,Lunch,Vegetarian,International,None,100 g
Chocolate Frozen Yogurt,221,5.2,37.6,6.3,4.0,33.5,0.1,174.0,0.8,407.2,227.929,Breakfast,Vegetarian,International,Milk,100 g
Chocolate Fudge,70,0.4,13.0,1.8,0.3,12.4,0.032,8.3,0.3,22.8,24.119,Lunch,Vegetarian,International,None,100 g
Chocolate Fudge Syrup,67,0.9,12.0,1.7,0.5,6.6,0.084,9.3,0.2,54.0,24.726,Lunch,Vegetarian,International,None,100 g
Chocolate Hazelnut Spread,100,1.0,11.5,5.5,1.0,10.0,0.099,20.0,0.8,75.3,39.8,Lunch,Vegetarian,International,None,100 g
Chocolate Milk Dessert,229,5.9,51.6,1.4,0.0,51.6,0.1,211.0,0.02,456.2,270.99,Breakfast,Vegetarian,International,Milk,100 g
Chocolate Mousse,338,6.2,24.1,24.0,0.9,22.2,0.081,144.0,0.8,214.5,200.4,Lunch,Vegetarian,International,None,100 g
Chocolate Pie Crust,881,11.1,117.4,40.8,4.9,47.9,0.9,58.2,7.8,340.3,240.2,Lunch,Vegetarian,International,None,100 g
Chocolate Powder For Milk,88,1.0,19.9,0.5,1.0,18.0,0.012,100.1,0.0,61.6,128.5,Breakfast,Vegetarian,International,Milk,100 g
Chocolate Pretzels,50,0.8,7.8,1.8,0.0,0.0,0.037,8.1,0.2,24.8,18.726,Lunch,Vegetarian,International,None,100 g
Chocolate Pudding,213,3.1,34.5,6.9,0.0,25.8,0.2,76.5,1.9,276.0,123.424,Lunch,Vegetarian,International,None,100 g
Chocolate Pudding Fat Free,105,2.2,23.6,0.3,0.3,17.8,0.1,44.1,1.9,235.0,72.4,Lunch,Vegetarian,International,None,100 g
Chocolate Rasberry Protein Mini Proteinfx,102,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.9,Lunch,Vegetarian,International,None,100 g
Chocolate Semisweet,806,7.1,107.4,50.4,9.9,91.6,0.042,53.8,5.3,613.2,233.9,Lunch,Vegetarian,International,None,100 g
Chocolate Snack Cake,200,1.8,30.2,8.0,1.6,18.9,0.2,58.0,1.8,88.0,102.459,Lunch,Vegetarian,International,None,100 g
Chocolate Soda,207,0.0,52.6,0.0,0.0,52.6,0.031,19.7,0.5,246.0,72.8,Lunch,Vegetarian,International,None,100 g
Chocolate Soymilk,153,5.5,24.2,3.7,1.0,19.1,0.1,0.074,0.5,123.9,35.156,Lunch,Vegetarian,International,Soy,100 g
Chocolate Soymilk Nonfat,107,6.0,20.7,0.046,0.5,8.9,0.1,281.9,0.9,255.2,310.107,Lunch,Vegetarian,International,Soy,100 g
Chocolate Syrup,109,0.8,25.4,0.4,1.0,19.4,0.061,5.5,0.8,87.4,33.955,Lunch,Vegetarian,International,None,100 g
Chocolate Wafers,485,7.4,81.1,15.9,3.8,33.2,0.8,34.7,4.5,235.2,147.442,Lunch,Vegetarian,International,None,100 g
Chocolate Yogurt,168,5.3,35.3,0.0,1.8,22.5,0.2,132.0,0.6,508.5,175.0,Breakfast,Vegetarian,International,Milk,100 g
Chokecherries,249,4.7,51.8,2.6,30.8,14.4,0.078,92.4,1.1,583.7,191.9,Lunch,Vegetarian,International,None,100 g
Chopped Ham,50,4.6,1.2,2.9,0.0,0.0,0.3,2.0,0.2,89.3,10.9,Lunch,Vegetarian,International,None,100 g
Chow Mein Noodles,257,5.9,37.5,9.9,1.5,0.5,0.5,11.2,2.6,67.2,68.6,Lunch,Vegetarian,International,None,100 g
Chow Mein Stir Fry Master Foods,26,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Lunch,Vegetarian,International,None,100 g
Chowchow Pickles,296,3.7,65.3,2.2,3.7,58.5,1.3,56.4,3.4,490.0,149.4,Lunch,Vegetarian,International,None,100 g
Chrysanthemum Cooked,20,1.6,4.3,0.036,2.3,2.0,0.042,0.1,0.1,43.0,8.597,Lunch,Vegetarian,International,None,100 g
Chrysanthemum Raw,12,1.7,1.5,0.3,1.5,0.0,0.012,0.2,0.044,27.5,5.285,Lunch,Vegetarian,International,None,100 g
Chuck Blade Roast Cooked,842,66.1,0.0,62.0,0.0,0.0,0.2,32.1,7.7,575.5,167.9,Lunch,Vegetarian,International,None,100 g
Chuck Blade Roast Raw,1125,77.8,0.0,88.0,0.0,0.0,0.3,45.4,9.3,1229.3,220.5,Lunch,Vegetarian,International,None,100 g
Chuck Eye Steak Grilled,853,76.9,0.0,60.5,0.0,0.0,0.2,0.02,0.2,594.4,142.79,Lunch,Vegetarian,International,None,100 g
Chuck Eye Steak Raw,856,72.4,0.0,62.8,0.0,0.0,0.3,53.8,8.1,1263.4,197.159,Lunch,Vegetarian,International,None,100 g
Chum Salmon Canned,520,79.1,0.0,20.3,0.0,0.0,0.3,918.8,2.6,1107.0,1020.805,Lunch,Vegetarian,International,None,100 g
Chum Salmon Cooked,474,79.5,0.0,14.9,0.0,0.0,0.2,43.1,2.2,1694.0,139.8,Lunch,Vegetarian,International,None,100 g
Chum Salmon Raw,3,0.6,0.0,0.1,0.0,0.0,0.029,0.3,0.038,12.0,1.025,Lunch,Vegetarian,International,None,100 g
Chunky Peanut Butter,94,3.8,3.5,8.0,1.3,1.3,0.03,7.2,0.3,119.2,24.1,Breakfast,Vegetarian,International,"Milk, Peanuts",100 g
Cider Vinegar,3,0.0,0.1,0.0,0.0,0.018,0.011,1.0,0.052,10.9,1.117,Lunch,Vegetarian,International,None,100 g
Cinnamon Coffeecake,238,3.9,26.6,13.3,1.1,0.0,0.2,30.8,1.1,70.1,77.089,Lunch,Vegetarian,International,None,100 g
Cinnamon Ground,6,0.1,2.1,0.044,1.4,0.066,0.022,26.1,0.2,11.2,30.0,Lunch,Vegetarian,International,None,100 g
Cinnamon Raisin Bagel,71,2.5,14.4,0.4,0.6,1.6,0.047,4.9,1.0,38.5,24.016,Lunch,Vegetarian,International,None,100 g
Cinnamon Toaster Pastry,206,2.6,34.1,7.1,0.5,0.0,0.2,17.0,2.0,57.0,63.489,Lunch,Vegetarian,International,None,100 g
Cisco Raw,77,15.0,0.0,1.5,0.0,0.0,0.042,9.5,0.3,279.7,26.367,Lunch,Vegetarian,International,None,100 g
Cisco Smoked,50,4.6,0.0,3.4,0.0,0.0,0.1,7.4,0.1,82.9,15.576,Lunch,Vegetarian,International,None,100 g
Citrus Fruit Juice,114,0.8,28.3,0.057,0.2,20.2,0.051,22.3,2.8,277.8,121.7,Lunch,Vegetarian,International,None,100 g
Clam Chowder Soup,154,4.4,24.5,4.4,3.0,6.8,1.8,47.9,3.3,378.0,95.69,Lunch,Vegetarian,International,None,100 g
Clam Tomato Juice,80,1.0,18.2,0.3,0.7,5.5,0.6,13.3,0.2,147.7,42.0,Lunch,Vegetarian,International,None,100 g
Clams Canned,227,38.8,9.4,2.5,0.0,0.0,0.2,104.0,4.3,1004.8,159.2,Lunch,Vegetarian,International,None,100 g
Clams Fried,19,1.3,1.0,1.0,0.0,0.0,0.068,5.9,1.3,30.6,11.464,Lunch,Vegetarian,International,None,100 g
Clams Raw,195,33.3,8.1,2.2,0.0,0.0,1.4,88.5,3.7,104.4,136.0,Lunch,Vegetarian,International,None,100 g
Claret Red Wine,122,0.1,4.4,0.0,15.0,0.0,0.0,0.0,0.0,0.0,146.5,Lunch,Vegetarian,International,None,100 g
Classique Yogurt Plain 2 Liberte,30,3.3,1.7,1.2,0.0,1.7,0.0,0.0,0.0,0.0,6.2,Breakfast,Vegetarian,International,Milk,100 g
Clementine,35,0.6,8.9,0.1,1.3,6.8,0.044,0.0,0.093,15.5,10.954,Lunch,Vegetarian,International,None,100 g
Clif Bar,235,10.0,44.5,4.0,5.0,21.5,0.1,250.2,4.5,280.2,378.2,Lunch,Vegetarian,International,None,100 g
Cloud Ear Fungus Dried,80,2.6,20.4,0.2,19.6,0.0,0.036,44.5,1.6,211.1,88.9,Lunch,Vegetarian,International,None,100 g
Cloves Ground,6,0.1,1.4,0.3,0.7,0.028,0.0,13.3,0.2,21.4,16.019,Lunch,Vegetarian,International,None,100 g
Club Soda,0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.015,0.0,0.025,Lunch,Vegetarian,International,None,100 g
Cocktail Sauce,19,0.2,4.2,0.2,0.3,1.8,0.2,3.9,0.1,46.4,10.667,Lunch,Vegetarian,International,None,100 g
Cocoa Butter Oil,120,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6,Breakfast,Vegetarian,International,Milk,100 g
Cocoa Powder,28,0.5,5.9,0.3,0.3,4.6,0.034,9.3,0.075,49.8,16.393,Lunch,Vegetarian,International,None,100 g
Cocoa Powder Unsweetened,12,1.1,3.1,0.7,1.8,0.087,0.062,6.9,0.7,82.3,14.3,Lunch,Vegetarian,International,None,100 g
Coconut Granola Bar,150,1.5,15.6,9.1,1.8,9.7,0.006,11.9,0.5,71.9,40.5,Lunch,Vegetarian,International,None,100 g
Coconut Meat,1405,13.2,60.5,133.0,35.7,24.7,0.022,55.6,9.6,1413.3,320.7,Lunch,Vegetarian,International,None,100 g
Coconut Meat Dried,187,1.9,6.7,18.3,4.6,2.1,0.058,7.4,0.9,153.7,40.2,Lunch,Vegetarian,International,None,100 g
Coconut Milk,35,0.3,0.8,3.6,0.3,0.5,0.001,2.4,0.2,39.5,8.0,Breakfast,Vegetarian,International,Milk,100 g
Coconut Oil,117,0.0,0.0,13.6,0.0,0.0,0.0,0.029,0.0,0.0,13.661,Lunch,Vegetarian,International,None,100 g
Coconut Water,46,1.7,8.9,0.5,2.6,6.3,0.3,57.6,0.7,600.0,77.8,Lunch,Vegetarian,International,None,100 g
Coconut Whole Coconut,3336,0.0,0.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,71.5,Lunch,Vegetarian,International,None,100 g
Cod Canned,328,71.0,0.0,2.7,0.0,0.0,0.7,65.5,1.5,1647.4,143.814,Lunch,Vegetarian,International,None,100 g
Cod Cooked,189,41.1,0.0,1.5,0.0,0.0,0.1,25.2,0.9,439.2,70.534,Lunch,Vegetarian,International,None,100 g
Cod Liver Fish Oil,123,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,17.7,Lunch,Non-Vegetarian,International,None,100 g
Cod Raw,189,41.1,0.0,1.5,0.0,0.0,0.1,37.0,0.9,954.0,82.88,Lunch,Vegetarian,International,None,100 g
Coffee,2,0.3,0.0,0.069,0.0,0.0,0.075,4.7,0.051,116.1,5.09,Lunch,Vegetarian,International,None,100 g
Coffee Decaffeinated,0,0.2,0.0,0.0,0.0,0.0,0.058,4.7,0.1,128.0,5.0,Lunch,Vegetarian,International,None,100 g
Coffee Liqueur,96,0.041,13.8,0.038,0.0,13.7,0.093,0.3,0.02,8.9,14.241,Lunch,Vegetarian,International,None,100 g
Coffeecake With Chocolate Frosting,298,4.5,48.4,9.7,1.8,0.0,0.3,34.2,0.5,70.2,99.233,Lunch,Vegetarian,International,None,100 g
Coho Salmon Cooked,255,34.7,0.0,11.8,0.0,0.0,0.06,17.2,0.6,657.8,66.478,Lunch,Vegetarian,International,None,100 g
Coho Salmon Raw,254,33.8,0.0,12.2,0.0,0.0,0.054,19.1,0.5,715.5,67.308,Lunch,Vegetarian,International,None,100 g
Cola,74,0.1,19.1,0.07,0.0,17.9,0.072,0.0,0.012,20.0,19.336,Lunch,Vegetarian,International,None,100 g
Cola Coca Cola,151,0.0,38.9,0.0,0.0,38.9,0.045,7.4,0.048,11.0,46.4,Lunch,Vegetarian,International,None,100 g
Cola Light Coca Cola,0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,Lunch,Vegetarian,International,None,100 g
Cola Without Caffeine Coca Cola,151,0.0,38.9,0.0,0.0,38.9,0.04,7.4,0.026,11.0,46.381,Lunch,Vegetarian,International,None,100 g
Colby Cheese,445,26.8,2.9,36.3,0.0,0.6,0.7,774.1,0.9,143.5,841.3,Breakfast,Vegetarian,International,Milk,100 g
Coleslaw,292,1.8,28.4,18.9,3.6,23.3,0.4,0.1,0.039,38.2,53.118,Lunch,Vegetarian,International,None,100 g
Coleslaw Dressing,62,0.1,3.8,5.3,0.024,3.2,0.1,2.2,0.01,1.4,11.62,Lunch,Vegetarian,International,None,100 g
Coleslaw Dressing Reduced Fat,56,0.0,6.8,3.4,0.045,6.6,0.3,6.1,0.08,8.5,16.403,Lunch,Vegetarian,International,None,100 g
Collard Cooked,63,5.1,10.7,1.4,7.6,0.0,0.013,267.9,2.1,222.3,329.4,Lunch,Vegetarian,International,None,100 g
Collard Raw,12,1.1,2.0,0.2,1.4,0.2,0.014,0.2,0.004,9.0,5.001,Lunch,Vegetarian,International,None,100 g
Conch Baked,165,33.4,2.2,1.5,0.0,0.0,0.2,124.5,1.8,207.0,163.446,Lunch,Vegetarian,International,None,100 g
Congee With Pork Shrimp And Squid Plus Egg,178,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Breakfast,Non-Vegetarian,International,Egg,100 g
Consomme Dry,17,2.2,1.9,0.2,0.0,1.1,0.8,12.5,0.2,57.3,17.2,Lunch,Vegetarian,International,None,100 g
Cooking Wine,2,0.028,0.3,0.0,0.0,0.09,0.002,0.4,0.1,4.3,0.879,Lunch,Vegetarian,International,None,100 g
Coriander Leaves Dried,2,0.1,0.3,0.098,0.095,0.045,0.018,0.094,0.017,2.9,0.633,Lunch,Vegetarian,International,None,100 g
Coriander Leaves Raw,4,0.3,0.6,0.086,0.4,0.1,0.005,10.7,0.3,83.4,16.674,Lunch,Vegetarian,International,None,100 g
Coriander Seeds,5,0.2,1.0,0.3,0.8,0.0,0.095,12.8,0.3,22.8,15.8,Lunch,Vegetarian,International,None,100 g
Corn Cake,35,0.7,7.5,0.2,0.2,2.1,0.01,1.7,0.1,14.1,10.437,Lunch,Vegetarian,International,None,100 g
Corn Canned,49,1.6,11.1,0.6,1.4,3.3,0.2,0.0,0.02,36.8,14.834,Lunch,Vegetarian,International,None,100 g
Corn Chips,162,1.9,17.2,10.0,1.2,0.031,0.2,0.068,0.021,58.2,30.501,Lunch,Vegetarian,International,None,100 g
Corn Chips Barbecue,1036,13.9,111.3,64.7,10.3,0.0,1.5,259.4,3.0,467.3,466.0,Lunch,Vegetarian,International,None,100 g
Corn Chips Unsalted,490,5.8,50.5,29.4,3.9,1.2,0.024,109.1,1.5,162.8,202.0,Lunch,Vegetarian,International,None,100 g
Corn Cones,144,1.6,17.8,7.6,0.3,0.0,0.3,0.8,0.7,22.9,28.8,Lunch,Vegetarian,International,None,100 g
Corn Cooked,99,3.5,21.6,1.5,2.5,4.7,0.039,0.055,0.025,79.3,29.288,Lunch,Vegetarian,International,None,100 g
Corn Dog,195,6.7,21.0,9.4,0.8,5.9,0.5,0.086,0.1,174.7,38.257,Lunch,Vegetarian,International,None,100 g
Corn Dried,119,4.1,18.8,3.0,5.8,6.0,0.029,7.1,0.7,219.3,39.5,Lunch,Vegetarian,International,None,100 g
Corn Flakes,108,1.7,24.6,0.3,0.8,2.2,0.2,0.0,0.083,9.2,27.947,Breakfast,Vegetarian,International,None,100 g
Corn Flour White,414,9.6,87.3,4.2,7.3,1.8,0.036,157.3,1.7,298.7,267.4,Lunch,Vegetarian,International,None,100 g
Corn Flour Whole Grain,422,8.1,89.9,4.5,8.5,0.7,0.033,8.2,2.8,368.6,122.0,Lunch,Vegetarian,International,None,100 g
Corn Flour Yellow,422,8.1,89.9,4.5,8.5,0.7,0.04,8.2,2.8,368.6,122.0,Lunch,Vegetarian,International,None,100 g
Corn Granola Oil,124,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Lunch,Vegetarian,International,None,100 g
Corn Grits Cooked,182,4.4,37.9,1.2,2.1,0.3,0.6,2.6,1.5,69.4,49.7,Lunch,Vegetarian,International,None,100 g
Corn Grits Dry,36,0.7,7.7,0.2,0.4,0.008,0.054,0.4,0.3,13.7,9.7,Lunch,Vegetarian,International,None,100 g
Corn Muffin,201,3.9,33.7,5.5,2.2,11.7,0.3,48.8,1.9,45.5,96.069,Lunch,Vegetarian,International,None,100 g
Corn On The Cob With Butter,155,4.5,31.9,3.4,0.0,0.0,0.056,4.4,0.9,359.2,52.078,Breakfast,Vegetarian,International,Milk,100 g
Corn Pasta Cooked,176,3.7,39.1,1.0,6.7,0.0,0.0,1.4,0.4,43.4,52.3,Lunch,Vegetarian,International,None,100 g
Corn Pasta Dry,375,7.8,83.2,2.2,11.6,0.0,0.027,4.2,1.0,308.7,110.0,Lunch,Vegetarian,International,None,100 g
Corn Pudding,328,11.1,42.4,12.6,3.0,16.5,0.7,0.066,0.1,225.0,69.795,Lunch,Vegetarian,International,None,100 g
Corn Raw,123,4.7,26.7,1.9,2.9,9.0,0.083,0.054,0.076,127.3,36.328,Lunch,Vegetarian,International,None,100 g
Corn Rice,110,1.8,25.2,0.3,0.4,3.0,0.2,2.9,9.9,30.5,51.9,Lunch,Vegetarian,International,None,100 g
Corn Syrup Dark,57,0.0,15.5,0.0,0.0,15.5,0.047,3.6,0.044,8.8,19.122,Lunch,Vegetarian,International,None,100 g
Corn Syrup Light,62,0.0,16.9,0.09,0.0,16.9,0.065,2.9,0.0,0.2,19.806,Lunch,Vegetarian,International,None,100 g
Corn Tamale,309,5.8,44.3,12.0,5.3,12.3,0.5,39.8,0.9,308.8,108.1,Lunch,Vegetarian,International,None,100 g
Corn Tortilla,52,1.4,10.7,0.7,1.5,0.2,0.075,19.4,0.3,44.6,34.0,Lunch,Vegetarian,International,None,100 g
Corn Tostada Shell,58,0.8,7.9,2.9,0.7,0.0,0.084,9.3,0.2,29.2,21.8,Lunch,Vegetarian,International,None,100 g
